,source,target
152,DN , Doctor of Nursing
153,DNE , Doctor of Nursing Education
154,DNP , Doctor of Nursing Practice
155,DNS , Doctor of Nursing Science
156,DNSc , Doctor of Nursing Science
157,DO , Doctor of Osteopathy
158,DOs , Doctor of Ocular Science
159,DP , Doctor of Pharmacy 
160,DPH , Doctor of Public Health
161,DPHN , Doctor of Public Health Nursing
162,DrNP , Doctor of Nursing Practice
163,DRPH , Doctor of Public Health
164,DSW , Doctor of Social Work
165,LRCS , Licentiate of the Royal College of Surgeons
166,MBBS ," Medicinae Baccalaureus, Baccalaureus Chirurgiae (Latin: Bachelor of Medicine, Bachelor of Surgery)    "
167,MD , Doctor of Medicine
168,MD , Medical Doctor
169,ME , Medical Examiner
170,MRCP , member of the Royal College of Physicians    
171,MRCS , member of the Royal College of Surgeons
172,MS , Master of Surgery    
173,MSc , Master of Surgery
174,MSurg , Master of Surgery
175,NCT , Nuclear Cardiology Technologist    
176,ND , Doctor of Naturopathy
177,OD , Doctor of Optometry
178,PH , Pharmacist
179,RPh , Pharmacist
180,Phar , Pharmacist (mostly used in Government and the Navy)
181,Pharm , Pharmacist
182,Pharm. D. or PharmD , Doctor of Pharmacy. The Pharm.D./PharmD is a professional degree similar to a Doctor of Medicine (MD) or Doctor of Dental Surgery (DDS)
